INDEX,CARD_ID,牌名,正逆位,含義
0,0,愚者,正位,開端、自由、純真、獨創性、冒險、理想主義、自發性
1,0,愚者,逆位,魯莽、粗心、分心、幼稚、愚蠢、容易上當、陳舊、遲鈍
2,1,魔術師,正位,意志力、慾望、足智多謀、技能、能力、專注、表現
3,1,魔術師,逆位,操縱、狡猾、詭計、浪費天賦、錯覺、欺騙
4,2,女祭司,正位,無意識、直覺、神秘、靈性、更高的力量、內在的聲音
5,2,女祭司,逆位,被壓抑的直覺、隱藏的動機、膚淺、困惑、認知失調
6,3,皇后,正位,神聖的女性、性感、生育力、培育、創造力、美麗、豐富、自然
7,3,皇后,逆位,不安全、專橫、疏忽、窒息、缺乏成長、缺乏進步
8,4,皇帝,正位,穩定性、結構、保護、權威、控制、實用性、重點、紀律
9,4,皇帝,逆位,暴君、霸道、死板、固執、缺乏紀律、魯莽
10,5,教皇,正位,傳統、社會群體、約定俗成、從眾、教育、知識、信仰
11,5,教皇,逆位,叛逆、非常規、不循規蹈矩、新方法、無知
12,6,戀人,正位,愛、工會、夥伴關係、關係、選擇、浪漫、平衡、團結
13,6,戀人,逆位,不和諧、不平衡、衝突、超脫、錯誤的選擇、優柔寡斷
14,7,戰車,正位,成功、雄心、決心、意志力、控制力、自律、專注
15,7,戰車,逆位,有力、沒有方向、沒有控制、無力、侵略、障礙
16,8,力量,正位,勇氣、勇敢、自信、同情、自信、內在力量
17,8,力量,逆位,自我懷疑、軟弱、低信心、不足、怯懦、強硬
18,9,隱者,正位,自我反省、內省、沉思、退縮、孤獨、尋找自我
19,9,隱者,逆位,孤獨、孤立、隱居、反社會、拒絕、回歸社會
20,10,命運之輪,正位,變化、週期、命運、決定性時刻、運氣、財富、突發事件
21,10,命運之輪,逆位,運氣不好、缺乏控制、執著於控制、不受歡迎的變化、延誤
22,11,正義 ,正位,正義、業力、後果、責任、法律、真相、誠實、正直、因果
23,11,正義 ,逆位,不公正、報復、不誠實、腐敗、不誠實、不公平、逃避責任
24,12,倒吊人 ,正位,犧牲、等待、不確定、缺乏方向、視角、沉思
25,12,倒吊人 ,逆位,拖延、漠不關心、停滯不前、避免犧牲、冷漠
26,13,死神,正位,轉變、結局、改變、過渡、放手、釋放
27,13,死神,逆位,害怕改變、重複消極的模式、抵制改變、停滯不前、腐朽
28,14,節制,正位,平衡、和平、耐心、適度、平靜、安寧、和諧、寧靜
29,14,節制,逆位,不平衡、過度、極端、不和諧、魯莽、倉促
30,15,惡魔,正位,壓迫、成癮、痴迷、依賴、過度、無力、局限
31,15,惡魔,逆位,獨立、自由、啟示、釋放、收回權力、收回控制
32,16,高塔,正位,災難、破壞、劇變、創傷、突變、混亂
33,16,高塔,逆位,避免災難、延遲不可避免的、抵制變化
34,17,星星,正位,希望、靈感、積極性、信念、更新、治愈、復興
35,17,星星,逆位,絕望、絕望、消極、缺乏信心、沮喪
